Parsed_output, Ground_truth, LTL_type, Num_props, Instruction, Model_output
(a U (!b U (b U (!c U (c U (!d U d)))))) & ((!b U a) & (!c U b) & (!d U c)), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, go to a without visiting b then go to b without visiting c then go to c without visiting d finally go to d while only visiting each location once, (a U (!b U (b U (!c U (c U (!d U d)))))) & ((!b U a) & (!c U b) & (!d U c))

(a U b) & (b U c) & (c U d) & (d U h) & ((!b & !c & !d & !h) U a) & ((!a & !c & !d & !h) U b) & ((!a & !b & !d & !h) U c) & ((!a & !b & !c & !h) U d) & ((!a & !b & !c & !d) U h), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, go from a to b to c to d to h in that specific order and only visit each landmark one time, (a U b) & (b U c) & (c U d) & (d U h) & ((!b & !c & !d & !h) U a) & ((!a & !c & !d & !h) U b) & ((!a & !b & !d & !h) U c) & ((!a & !b & !c & !h) U d) & ((!a & !b & !c & !d) U h)

(!b U a) & (!c U a) & (!d U a) & (!h U a) & (!c U b) & (!d U b) & (!h U b) & (!d U c) & (!h U c) & (!h U d) & Fh, & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, go to a but not through b c d or h and then go to b but not through c d or h and then go to c but not through d or h and then go to d but not through h and finally go to h no revisiting is allowed here, (!b U a) & (!c U a) & (!d U a) & (!h U a) & (!c U b) & (!d U b) & (!h U b) & (!d U c) & (!h U c) & (!h U d) & Fh

F(a & (!b U b) & (!c U c) & (!d U d) & (!h U h)), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, go to a once without visiting b then go to b once without visiting c then go to c once without visiting d then go to d once without visiting h finally go to h, F(a & (!b U b) & (!c U c) & (!d U d) & (!h U h))

F(a & F(b & F(c & F(d & Fh)))) & (!b U a) & (!c U b) & (!d U c) & (!h U d), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, go to a only then go to  b without returning only after that go to c without returning only after that go to d without returning  and finally only then go to h without returning, F(a & F(b & F(c & F(d & Fh)))) & (!b U a) & (!c U b) & (!d U c) & (!h U d)

F(a & F(b & F(c & F(d & Fh)))) & (!b U a) & (!c U b) & (!d U c) & (!h U d), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, visit a and only then visit b without returning to a only then visit c without returning to b only then visit d without returning to c and only then visit h without returning to d, F(a & F(b & F(c & F(d & Fh)))) & (!b U a) & (!c U b) & (!d U c) & (!h U d)

(!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh & Fd & Fc & Fb & Fa, & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, visit a b c d and h once do not visit b without visiting a and do not visit c without visiting b also do not visit d without visiting c and do not visit h without visiting d, (!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh & Fd & Fc & Fb & Fa

F(a & F(b & F(c & F(d & Fh)))) & (a & b & c & d & h) = 1, & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, eventually visit a afterward eventually visit b afterward eventually visit c afterward eventually visit d afterward eventually visit h visit each landmark only once, F(a & F(b & F(c & F(d & Fh)))) & (a & b & c & d & h) = 1

(a & !b & !c & !d & !h) U (b & !c & !d & !h & !a) U (c & !d & !h & !a & !b) U (d & !h & !a & !b & !c) U (h & !a & !b & !c & !d), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, visit a b c d and h in that exact order once you leave any location you cannot return to it, (a & !b & !c & !d & !h) U (b & !c & !d & !h & !a) U (c & !d & !h & !a & !b) U (d & !h & !a & !b & !c) U (h & !a & !b & !c & !d)

F(a & F(b & F(c & F(d & Fh)))) & G(!(b & F(a))) & G(!(c & F(b))) & G(!(d & F(c))) & G(!(h & F(d))), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, visit a b c d and h in this order without skipping any one of them do not revisit any one of them once after you have been there , F(a & F(b & F(c & F(d & Fh)))) & G(!(b & F(a))) & G(!(c & F(b))) & G(!(d & F(c))) & G(!(h & F(d)))

F(a & F(b & F(c & F(d & Fh)))) & (a U b) & (b U c) & (c U d) & (d U h) & (!b U a) & (!c U (a & b)) & (!d U (a & b & c)) & (!h U (a & b & c & d)), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, visit a followed by visiting b then visit c d and h in this exact order visit all locations once, F(a & F(b & F(c & F(d & Fh)))) & (a U b) & (b U c) & (c U d) & (d U h) & (!b U a) & (!c U (a & b)) & (!d U (a & b & c)) & (!h U (a & b & c & d))

(a & (!b U a)) & (b & (!c U b)) & (c & (!d U c)) & (d & (!h U d)) & Fh, & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, visit a then b then c then d and then h visit each landmark only once, (a & (!b U a)) & (b & (!c U b)) & (c & (!d U c)) & (d & (!h U d)) & Fh

(a U (!a U (!b U (!c U (!d U (!h U (b U (c U d)))))))) & (!d U c) & (!h U d) & Fh, & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, before visiting b c d and h visit a and never visit it again then visit b before c d and h and never visit it again do not visit d and h until you visit c never visit c again then visit d before h and never visit h again finally visit h, (a U (!a U (!b U (!c U (!d U (!h U (b U (c U d)))))))) & (!d U c) & (!h U d) & Fh

(a & !b) U (b & !c) U (c & !d) U (d & !h) U (h & F(a & Fb & Fc & Fd)), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, go to a without visiting b then go to b without visiting c third go to c without visiting d fourth go to d without visiting h finally go to h visit a b c and d only one time, (a & !b) U (b & !c) U (c & !d) U (d & !h) U (h & F(a & Fb & Fc & Fd))

(!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh & (!a U (a U (!a U b))) & (!b U (b U (!b U c))) & (!c U (c U (!c U d))), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, go to h but only after going to d only once go to d only after going to c only once go to c only after going to b only once and go to b only after going to a only once, (!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh & (!a U (a U (!a U b))) & (!b U (b U (!b U c))) & (!c U (c U (!c U d)))

(F(a & (!b U a))) & (F(b & (!c U b))) & (F(c & F(d & Fh))), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, visit a only once then eventually visit b only once then visit c in the future for one time followed by one visit to d and after that h, (F(a & (!b U a))) & (F(b & (!c U b))) & (F(c & F(d & Fh)))

F(a & (!b & !c & !d & !h) U (b & (!c & !d & !h) U (c & (!d & !h) U (d & !h U (h & (!a & !b & !c & !d)))))), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, go to a but do not visit b c d or h and then go to b but do not visit c d or h or revisit a and then go to c but do not visit d or h or revisit a or b and then go to d but do not visit h or revisit a b or c and then go to h but do not revisit a b c or d, F(a & (!b & !c & !d & !h) U (b & (!c & !d & !h) U (c & (!d & !h) U (d & !h U (h & (!a & !b & !c & !d))))))

(!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh & (a U b) & (b U c) & (c U d) & (d U h) & (a & b & c & d & h), & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h, strictly_ordered_visit, 5, first visit a while avoiding b then visit b while avoiding c then visit c while avoiding d then visit d while avoiding h finally visit h visit each location once, (!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh & (a U b) & (b U c) & (c U d) & (d U h) & (a & b & c & d & h)

F(a & Fb), & U ! b a F b, ordered_visit, 2, first go to a then go to b only after a, F(a & Fb)

! (b U a), & U ! b a F b, ordered_visit, 2, ensure that you do not reach b before going to a, ! (b U a)

F(a & Fb), & U ! b a F b, ordered_visit, 2, visit b only after visiting a, F(a & Fb)

(!b U a), & U ! b a F b, ordered_visit, 2, you must visit a first before going to b, (!b U a)

!b U a, & U ! b a F b, ordered_visit, 2, do not visit b until you go to a, !b U a

(!b U a) & (a -> Fb), & U ! b a F b, ordered_visit, 2, find a while avoiding b then after finding a go to b, (!b U a) & (a -> Fb)

F(a & F(b & (!a U b))), & U ! b a F b, ordered_visit, 2, go to a and then go to b but do not visit b before a is visited, F(a & F(b & (!a U b)))

Fa & F(a -> Fb), & U ! b a F b, ordered_visit, 2, visit a then eventually visit b do not visit b before visiting a, Fa & F(a -> Fb)

F(a & Fb & (!a U b)), & U ! b a F b, ordered_visit, 2, go to a and only then go to b, F(a & Fb & (!a U b))

F(a & F(b & (!b U a))), & U ! b a F b, ordered_visit, 2, go to a then b you cannot visit b before a, F(a & F(b & (!b U a)))

F(a & F(b & G(a => b))), & U ! b a F b, ordered_visit, 2, visit a and visit b only if a is visited, F(a & F(b & G(a => b)))

F(a & F(b & (!b U a))), & U ! b a F b, ordered_visit, 2, visit a then visit b but do not visit b until you visit a, F(a & F(b & (!b U a)))

G(a), G F a, patrolling, 1, do not stop going to a, G(a)

G(a), G F a, patrolling, 1, keep visiting a, G(a)

G(a), G F a, patrolling, 1, keep visiting a, G(a)

G(a), G F a, patrolling, 1, continue to visit a, G(a)

G(a), G F a, patrolling, 1, keep visiting a, G(a)

G(a), G F a, patrolling, 1, keep visiting a, G(a)

(a U (!b U (b U (!c U (c U (!d U d)))))), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, visit a without visiting b then visit b without visiting c then visit c without visiting d finally visit d, (a U (!b U (b U (!c U (c U (!d U d))))))

F(a & F(b & F(c & Fd))), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, first go directly to a without visiting any other waypoints then go directly to b then directly to c and finally directly to d, F(a & F(b & F(c & Fd)))

F(a & F(b & F(c & Fd))) & G((!a U b) & (!b U c) & (!c U d)), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, visit a b c and d in this strict order once the predecessor is visited you must visit the successor, F(a & F(b & F(c & Fd))) & G((!a U b) & (!b U c) & (!c U d))

F(a & F(b & F(c & Fd))) & G(!(b | c | d) U (b | c | d)), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, visit a b c d in that specific order, F(a & F(b & F(c & Fd))) & G(!(b | c | d) U (b | c | d))

(!b U a) & (!c U b) & (!d U c) & Fd & (!c U (c U (!c U d))) & (!b U (b U (!b U c))), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, visit d but do not visit d until you have reached c in turn only go to c after you visit b and only go to b after reaching a, (!b U a) & (!c U b) & (!d U c) & Fd & (!c U (c U (!c U d))) & (!b U (b U (!b U c)))

F(a & F(b & F(c & Fd))) & G((!b U a) & (!c U b) & (!d U c)), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, visit a b c and d in that specific order make sure not to visit waypoints out of turn, F(a & F(b & F(c & Fd))) & G((!b U a) & (!c U b) & (!d U c))

(!b U a) & (!c U b) & (!d U c) & Fd & (!a U (a U (!a U b))) & (!b U (b U (!b U c))) & (!c U (c U (!c U d))), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, make your way to d only after going to c before that make your way to c only after going to b before that make your way to b only after going to a, (!b U a) & (!c U b) & (!d U c) & Fd & (!a U (a U (!a U b))) & (!b U (b U (!b U c))) & (!c U (c U (!c U d)))

(a U (!b & !c & !d)) & (b U (!c & !d)) & (c U d), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, visit a before visiting b c and d then visit b before visiting c d and then visit c before visiting d finally reach d, (a U (!b & !c & !d)) & (b U (!c & !d)) & (c U d)

F(a & F(b & F(c & Fd))), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, go to a only after that go to b only then go to c and only then go to d, F(a & F(b & F(c & Fd)))

(!b U a) & (!c U b) & (!d U c), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, do not visit successor without visiting the predecessor in the following strict order a b c and d, (!b U a) & (!c U b) & (!d U c)

F(a & F(b & F(c & Fd))) & (!b U a) & (!c U (a & b)) & (!d U (a & b & c)), & U ! b a & U ! c b & U ! d c F d, ordered_visit, 4, go to a and only go to b only after a is visited and then go to c only after a and b are both visited and then go to d only after a b and c are all visited, F(a & F(b & F(c & Fd))) & (!b U a) & (!c U (a & b)) & (!d U (a & b & c))

(!b U a) & (!c U b) & (!d U c) & (!h U d), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, only after you visit a you can go to b only after you visit b you can go to c only after you visit c you can go to d only after you visit d you can go to h, (!b U a) & (!c U b) & (!d U c) & (!h U d)

F(a & F(b & F(c & F(d & Fh)))) & G(a -> (Xb & X(c & X(d & Xh)))) & G(b -> (Xc & X(d & Xh))) & G(c -> (Xd & Xh)) & G(d -> Xh), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, visit a b c d and h in this order without skipping any one of them, F(a & F(b & F(c & F(d & Fh)))) & G(a -> (Xb & X(c & X(d & Xh)))) & G(b -> (Xc & X(d & Xh))) & G(c -> (Xd & Xh)) & G(d -> Xh)

(a & F(b & F(c & Fd))) & (!b U a) & (!c U b) & (!d U c) & (!h U d), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, visit a then b then c finally d you cannot visit b before a you cannot visit c before b you cannot visit d before c you cannot visit h before d, (a & F(b & F(c & Fd))) & (!b U a) & (!c U b) & (!d U c) & (!h U d)

F(a & F(b & F(c & F(d & Fh)))), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, visit a before visiting b c d and h then visit b before visiting c d and h then visit c before visiting d and h then visit d before visiting h finally visit h, F(a & F(b & F(c & F(d & Fh))))

F(a & F(b & F(c & F(d & Fh)))) & G(!(h & !(a | b | c | d))), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, go to h but only after visiting a b c d in that specific order, F(a & F(b & F(c & F(d & Fh)))) & G(!(h & !(a | b | c | d)))

(!b U a) & (!c U b) & (!d U c) & (!h U d) & GFh & (!a U (a U (!a U b))) & (!b U (b U (!b U c))) & (!c U (c U (!c U d))) & (!d U (d U (!d U h))), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, make your way to h only after going to d before that make your way to d only after going to c before that make your way to c only after going to b before that make your way to b only after going to a, (!b U a) & (!c U b) & (!d U c) & (!h U d) & GFh & (!a U (a U (!a U b))) & (!b U (b U (!b U c))) & (!c U (c U (!c U d))) & (!d U (d U (!d U h)))

F(a & F(b & F(c & F(h & Fd)))), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, visit a before b b before c c before d and h before d, F(a & F(b & F(c & F(h & Fd))))

F(a & F(b & F(c & F(d & Fh)))) & G(!(b | c | d | h) U (b | c | d | h)), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, go to a b c d and h in that specific order, F(a & F(b & F(c & F(d & Fh)))) & G(!(b | c | d | h) U (b | c | d | h))

F(a & F(b & F(c & F(d & Fh)))) & (!b U a) & (!c U (a & b)) & (!d U (a & b & c)) & (!h U (a & b & c & d)), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, go to a and only go to b only after a is visited and then go to c only after a and b are both visited and then go to d only after a b and c are all visited and then go to h only after a b c and d are all visited, F(a & F(b & F(c & F(d & Fh)))) & (!b U a) & (!c U (a & b)) & (!d U (a & b & c)) & (!h U (a & b & c & d))

(a U (!a U (b U (!b U (c U (!c U (d U (!d U h)))))))), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, visit a only after a is visited go to b only after b is visited go to c only after c is visited go to d only after d is visited go to h, (a U (!a U (b U (!b U (c U (!c U (d U (!d U h))))))))

F(a & F(b & F(c & F(d & Fh)))) & G((!a U b) & (!b U c) & (!c U d) & (!d U h)), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, visit a b c d and h in this strict order once the predecessor is visited you must visit the successor, F(a & F(b & F(c & F(d & Fh)))) & G((!a U b) & (!b U c) & (!c U d) & (!d U h))

F(a & F(b & F(c & F(d & Fh)))) & G((!a U b) & (!b U c) & (!c U d) & (!d U h)), & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, visit a b c d and h in this strict order once the predecessor is visited you must visit the successor, F(a & F(b & F(c & F(d & Fh)))) & G((!a U b) & (!b U c) & (!c U d) & (!d U h))

(a & !b & !c & !d & !h) U (b & !c & !d & !h) U (c & !d & !h) U (d & !h) U h, & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, visit a b c d and h in that specific order ensure to not visit locations out of turn, (a & !b & !c & !d & !h) U (b & !c & !d & !h) U (c & !d & !h) U (d & !h) U h

(a U (!b & !c & !d & !h)) & (b U (!c & !d & !h)) & (c U (!d & !h)) & (d U !h) & Fh, & U ! b a & U ! c b & U ! d c & U ! h d F h, ordered_visit, 5, visit a do not visit b c d or h until you visit a then visit b do not visit c d or h until you visit b then visit c do not visit d or h until you visit c then visit d do not visit h until you visit d finally reach h  , (a U (!b & !c & !d & !h)) & (b U (!c & !d & !h)) & (c U (!d & !h)) & (d U !h) & Fh

GF(a & G(b & G(c & Gd))), & G F a & G F b & G F c G F d, patrolling, 4, keep visiting a b c and d in no specific order, GF(a & G(b & G(c & Gd)))

GF(a & b & c & d), & G F a & G F b & G F c G F d, patrolling, 4, perpetually travel to b c d and a, GF(a & b & c & d)

G((Fd & Fc & Fa & Fb) & (!Fd U G(!Fd)) & (!Fc U G(!Fc)) & (!Fa U G(!Fa)) & (!Fb U G(!Fb))), & G F a & G F b & G F c G F d, patrolling, 4, you are prohibited from not infinitely going to d c a and b, G((Fd & Fc & Fa & Fb) & (!Fd U G(!Fd)) & (!Fc U G(!Fc)) & (!Fa U G(!Fa)) & (!Fb U G(!Fb)))

G(a | b | c | d), & G F a & G F b & G F c G F d, patrolling, 4, continue to stop at a b c and d, G(a | b | c | d)

GF(a & b & c & d & h), & G F a & G F b & G F c & G F d G F h, patrolling, 5, keep going to a b c d and h in any order, GF(a & b & c & d & h)

G!(G(!a & !b & !c & !d & !h)), & G F a & G F b & G F c & G F d G F h, patrolling, 5, you are prohibited from not going to d c h b and a forever, G!(G(!a & !b & !c & !d & !h))

G(a & b & c & d & h), & G F a & G F b & G F c & G F d G F h, patrolling, 5, you are not allowed to cease exploring a b c d and h, G(a & b & c & d & h)

G((d U h) & (h U b) & (b U c) & (c U a) & (a U d)), & G F a & G F b & G F c & G F d G F h, patrolling, 5, cycle through d h b c and a, G((d U h) & (h U b) & (b U c) & (c U a) & (a U d))

GF(a & b), & G F a G F b, patrolling, 2, make sure a and b are visited infinitely, GF(a & b)

GF(a & b), & G F a G F b, patrolling, 2, keep visiting a and b in any order, GF(a & b)

G(a U b) & G(b U a), & G F a G F b, patrolling, 2, keep going between a and b, G(a U b) & G(b U a)

G(a & b), & G F a G F b, patrolling, 2, do not stop visiting a and b, G(a & b)

GF(a & b), & G F a G F b, patrolling, 2, keep visiting a and b forever, GF(a & b)

GF(a & b), & G F a G F b, patrolling, 2, keep visiting b and a, GF(a & b)

G(a & b), & G F a G F b, patrolling, 2, do not stop visiting a and b, G(a & b)

GF(G(a) & G(b)), & G F a G F b, patrolling, 2, travel to a and b an infinite number of times, GF(G(a) & G(b))

G((a U b) & (b U a)), & G F a G F b, patrolling, 2, keep going back and forth between a and b, G((a U b) & (b U a))

Accuracy: 0.5714285714285714
