instruction,ltl,pattern_type,props
make your way to a only after going to c before that make your way to c only after going to b before that make your way to b only after going to d before that make your way to d only after going to h do not go back to the previous location you have visited while heading to the next,& & U ! d h & U ! b d & U ! c b & U ! a c F a & U ! h U h U ! h d & U ! d U d U ! d b & U ! b U b U ! b c U ! c U c U ! c a,strictly_ordered_visit,"['h', 'd', 'b', 'c', 'a']"
make your way to b only after going to a before that make your way to a only after going to c before that make your way to c only after going to d before that make your way to d only after going to h do not go back to the previous location you have visited while heading to the next,& & U ! d h & U ! c d & U ! a c & U ! b a F b & U ! h U h U ! h d & U ! d U d U ! d c & U ! c U c U ! c a U ! a U a U ! a b,strictly_ordered_visit,"['h', 'd', 'c', 'a', 'b']"
make your way to a only after going to b before that make your way to b only after going to c before that make your way to c only after going to d before that make your way to d only after going to h do not go back to the previous location you have visited while heading to the next,& & U ! d h & U ! c d & U ! b c & U ! a b F a & U ! h U h U ! h d & U ! d U d U ! d c & U ! c U c U ! c b U ! b U b U ! b a,strictly_ordered_visit,"['h', 'd', 'c', 'b', 'a']"
go to a but do not visit b c d or h and then go to b but do not visit c d or h or revisit a and then go to c but do not visit d or h or revisit a or b and then go to d but do not visit h or revisit a b or c and then go to h but do not revisit a b c or d,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d h,strictly_ordered_visit,"['a', 'b', 'c', 'd', 'h']"
go to a but do not visit b c h or d and then go to b but do not visit c h or d or revisit a and then go to c but do not visit h or d or revisit a or b and then go to h but do not visit d or revisit a b or c and then go to d but do not revisit a b c or h,& & U ! b a & U ! c b & U ! h c & U ! d h F d & U ! a U a U ! a b & U ! b U b U ! b c & U ! c U c U ! c h U ! h U h U ! h d,strictly_ordered_visit,"['a', 'b', 'c', 'h', 'd']"
go to a but do not visit b d c or h and then go to b but do not visit d c or h or revisit a and then go to d but do not visit c or h or revisit a or b and then go to c but do not visit h or revisit a b or d and then go to h but do not revisit a b d or c,& & U ! b a & U ! d b & U ! c d & U ! h c F h & U ! a U a U ! a b & U ! b U b U ! b d & U ! d U d U ! d c U ! c U c U ! c h,strictly_ordered_visit,"['a', 'b', 'd', 'c', 'h']"
go to a but do not visit b d h or c and then go to b but do not visit d h or c or revisit a and then go to d but do not visit h or c or revisit a or b and then go to h but do not visit c or revisit a b or d and then go to c but do not revisit a b d or h,& & U ! b a & U ! d b & U ! h d & U ! c h F c & U ! a U a U ! a b & U ! b U b U ! b d & U ! d U d U ! d h U ! h U h U ! h c,strictly_ordered_visit,"['a', 'b', 'd', 'h', 'c']"
go to a but do not visit b h c or d and then go to b but do not visit h c or d or revisit a and then go to h but do not visit c or d or revisit a or b and then go to c but do not visit d or revisit a b or h and then go to d but do not revisit a b h or c,& & U ! b a & U ! h b & U ! c h & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b h & U ! h U h U ! h c U ! c U c U ! c d,strictly_ordered_visit,"['a', 'b', 'h', 'c', 'd']"
go to a but do not visit b h d or c and then go to b but do not visit h d or c or revisit a and then go to h but do not visit d or c or revisit a or b and then go to d but do not visit c or revisit a b or h and then go to c but do not revisit a b h or d,& & U ! b a & U ! h b & U ! d h & U ! c d F c & U ! a U a U ! a b & U ! b U b U ! b h & U ! h U h U ! h d U ! d U d U ! d c,strictly_ordered_visit,"['a', 'b', 'h', 'd', 'c']"
go to a but do not visit c b d or h and then go to c but do not visit b d or h or revisit a and then go to b but do not visit d or h or revisit a or c and then go to d but do not visit h or revisit a c or b and then go to h but do not revisit a c b or d,& & U ! c a & U ! b c & U ! d b & U ! h d F h & U ! a U a U ! a c & U ! c U c U ! c b & U ! b U b U ! b d U ! d U d U ! d h,strictly_ordered_visit,"['a', 'c', 'b', 'd', 'h']"
go to a but do not visit c b h or d and then go to c but do not visit b h or d or revisit a and then go to b but do not visit h or d or revisit a or c and then go to h but do not visit d or revisit a c or b and then go to d but do not revisit a c b or h,& & U ! c a & U ! b c & U ! h b & U ! d h F d & U ! a U a U ! a c & U ! c U c U ! c b & U ! b U b U ! b h U ! h U h U ! h d,strictly_ordered_visit,"['a', 'c', 'b', 'h', 'd']"
go to a but do not visit c d b or h and then go to c but do not visit d b or h or revisit a and then go to d but do not visit b or h or revisit a or c and then go to b but do not visit h or revisit a c or d and then go to h but do not revisit a c d or b,& & U ! c a & U ! d c & U ! b d & U ! h b F h & U ! a U a U ! a c & U ! c U c U ! c d & U ! d U d U ! d b U ! b U b U ! b h,strictly_ordered_visit,"['a', 'c', 'd', 'b', 'h']"
go to a but do not visit c d h or b and then go to c but do not visit d h or b or revisit a and then go to d but do not visit h or b or revisit a or c and then go to h but do not visit b or revisit a c or d and then go to b but do not revisit a c d or h,& & U ! c a & U ! d c & U ! h d & U ! b h F b & U ! a U a U ! a c & U ! c U c U ! c d & U ! d U d U ! d h U ! h U h U ! h b,strictly_ordered_visit,"['a', 'c', 'd', 'h', 'b']"
go to a but do not visit c h b or d and then go to c but do not visit h b or d or revisit a and then go to h but do not visit b or d or revisit a or c and then go to b but do not visit d or revisit a c or h and then go to d but do not revisit a c h or b,& & U ! c a & U ! h c & U ! b h & U ! d b F d & U ! a U a U ! a c & U ! c U c U ! c h & U ! h U h U ! h b U ! b U b U ! b d,strictly_ordered_visit,"['a', 'c', 'h', 'b', 'd']"
go to a but do not visit c h d or b and then go to c but do not visit h d or b or revisit a and then go to h but do not visit d or b or revisit a or c and then go to d but do not visit b or revisit a c or h and then go to b but do not revisit a c h or d,& & U ! c a & U ! h c & U ! d h & U ! b d F b & U ! a U a U ! a c & U ! c U c U ! c h & U ! h U h U ! h d U ! d U d U ! d b,strictly_ordered_visit,"['a', 'c', 'h', 'd', 'b']"
go to a but do not visit d b c or h and then go to d but do not visit b c or h or revisit a and then go to b but do not visit c or h or revisit a or d and then go to c but do not visit h or revisit a d or b and then go to h but do not revisit a d b or c,& & U ! d a & U ! b d & U ! c b & U ! h c F h & U ! a U a U ! a d & U ! d U d U ! d b & U ! b U b U ! b c U ! c U c U ! c h,strictly_ordered_visit,"['a', 'd', 'b', 'c', 'h']"
go to a but do not visit d b h or c and then go to d but do not visit b h or c or revisit a and then go to b but do not visit h or c or revisit a or d and then go to h but do not visit c or revisit a d or b and then go to c but do not revisit a d b or h,& & U ! d a & U ! b d & U ! h b & U ! c h F c & U ! a U a U ! a d & U ! d U d U ! d b & U ! b U b U ! b h U ! h U h U ! h c,strictly_ordered_visit,"['a', 'd', 'b', 'h', 'c']"
go to a but do not visit d c b or h and then go to d but do not visit c b or h or revisit a and then go to c but do not visit b or h or revisit a or d and then go to b but do not visit h or revisit a d or c and then go to h but do not revisit a d c or b,& & U ! d a & U ! c d & U ! b c & U ! h b F h & U ! a U a U ! a d & U ! d U d U ! d c & U ! c U c U ! c b U ! b U b U ! b h,strictly_ordered_visit,"['a', 'd', 'c', 'b', 'h']"
go to a but do not visit d c h or b and then go to d but do not visit c h or b or revisit a and then go to c but do not visit h or b or revisit a or d and then go to h but do not visit b or revisit a d or c and then go to b but do not revisit a d c or h,& & U ! d a & U ! c d & U ! h c & U ! b h F b & U ! a U a U ! a d & U ! d U d U ! d c & U ! c U c U ! c h U ! h U h U ! h b,strictly_ordered_visit,"['a', 'd', 'c', 'h', 'b']"
go to a but do not visit d h b or c and then go to d but do not visit h b or c or revisit a and then go to h but do not visit b or c or revisit a or d and then go to b but do not visit c or revisit a d or h and then go to c but do not revisit a d h or b,& & U ! d a & U ! h d & U ! b h & U ! c b F c & U ! a U a U ! a d & U ! d U d U ! d h & U ! h U h U ! h b U ! b U b U ! b c,strictly_ordered_visit,"['a', 'd', 'h', 'b', 'c']"
go to a but do not visit d h c or b and then go to d but do not visit h c or b or revisit a and then go to h but do not visit c or b or revisit a or d and then go to c but do not visit b or revisit a d or h and then go to b but do not revisit a d h or c,& & U ! d a & U ! h d & U ! c h & U ! b c F b & U ! a U a U ! a d & U ! d U d U ! d h & U ! h U h U ! h c U ! c U c U ! c b,strictly_ordered_visit,"['a', 'd', 'h', 'c', 'b']"
go to a but do not visit h b c or d and then go to h but do not visit b c or d or revisit a and then go to b but do not visit c or d or revisit a or h and then go to c but do not visit d or revisit a h or b and then go to d but do not revisit a h b or c,& & U ! h a & U ! b h & U ! c b & U ! d c F d & U ! a U a U ! a h & U ! h U h U ! h b & U ! b U b U ! b c U ! c U c U ! c d,strictly_ordered_visit,"['a', 'h', 'b', 'c', 'd']"
go to a but do not visit h b d or c and then go to h but do not visit b d or c or revisit a and then go to b but do not visit d or c or revisit a or h and then go to d but do not visit c or revisit a h or b and then go to c but do not revisit a h b or d,& & U ! h a & U ! b h & U ! d b & U ! c d F c & U ! a U a U ! a h & U ! h U h U ! h b & U ! b U b U ! b d U ! d U d U ! d c,strictly_ordered_visit,"['a', 'h', 'b', 'd', 'c']"
go to a but do not visit h c b or d and then go to h but do not visit c b or d or revisit a and then go to c but do not visit b or d or revisit a or h and then go to b but do not visit d or revisit a h or c and then go to d but do not revisit a h c or b,& & U ! h a & U ! c h & U ! b c & U ! d b F d & U ! a U a U ! a h & U ! h U h U ! h c & U ! c U c U ! c b U ! b U b U ! b d,strictly_ordered_visit,"['a', 'h', 'c', 'b', 'd']"
go to a but do not visit h c d or b and then go to h but do not visit c d or b or revisit a and then go to c but do not visit d or b or revisit a or h and then go to d but do not visit b or revisit a h or c and then go to b but do not revisit a h c or d,& & U ! h a & U ! c h & U ! d c & U ! b d F b & U ! a U a U ! a h & U ! h U h U ! h c & U ! c U c U ! c d U ! d U d U ! d b,strictly_ordered_visit,"['a', 'h', 'c', 'd', 'b']"
go to a but do not visit h d b or c and then go to h but do not visit d b or c or revisit a and then go to d but do not visit b or c or revisit a or h and then go to b but do not visit c or revisit a h or d and then go to c but do not revisit a h d or b,& & U ! h a & U ! d h & U ! b d & U ! c b F c & U ! a U a U ! a h & U ! h U h U ! h d & U ! d U d U ! d b U ! b U b U ! b c,strictly_ordered_visit,"['a', 'h', 'd', 'b', 'c']"
go to a but do not visit h d c or b and then go to h but do not visit d c or b or revisit a and then go to d but do not visit c or b or revisit a or h and then go to c but do not visit b or revisit a h or d and then go to b but do not revisit a h d or c,& & U ! h a & U ! d h & U ! c d & U ! b c F b & U ! a U a U ! a h & U ! h U h U ! h d & U ! d U d U ! d c U ! c U c U ! c b,strictly_ordered_visit,"['a', 'h', 'd', 'c', 'b']"
go to b but do not visit a c d or h and then go to a but do not visit c d or h or revisit b and then go to c but do not visit d or h or revisit b or a and then go to d but do not visit h or revisit b a or c and then go to h but do not revisit b a c or d,& & U ! a b & U ! c a & U ! d c & U ! h d F h & U ! b U b U ! b a & U ! a U a U ! a c & U ! c U c U ! c d U ! d U d U ! d h,strictly_ordered_visit,"['b', 'a', 'c', 'd', 'h']"
go to b but do not visit a c h or d and then go to a but do not visit c h or d or revisit b and then go to c but do not visit h or d or revisit b or a and then go to h but do not visit d or revisit b a or c and then go to d but do not revisit b a c or h,& & U ! a b & U ! c a & U ! h c & U ! d h F d & U ! b U b U ! b a & U ! a U a U ! a c & U ! c U c U ! c h U ! h U h U ! h d,strictly_ordered_visit,"['b', 'a', 'c', 'h', 'd']"
go to b but do not visit a d c or h and then go to a but do not visit d c or h or revisit b and then go to d but do not visit c or h or revisit b or a and then go to c but do not visit h or revisit b a or d and then go to h but do not revisit b a d or c,& & U ! a b & U ! d a & U ! c d & U ! h c F h & U ! b U b U ! b a & U ! a U a U ! a d & U ! d U d U ! d c U ! c U c U ! c h,strictly_ordered_visit,"['b', 'a', 'd', 'c', 'h']"
go to b but do not visit a d h or c and then go to a but do not visit d h or c or revisit b and then go to d but do not visit h or c or revisit b or a and then go to h but do not visit c or revisit b a or d and then go to c but do not revisit b a d or h,& & U ! a b & U ! d a & U ! h d & U ! c h F c & U ! b U b U ! b a & U ! a U a U ! a d & U ! d U d U ! d h U ! h U h U ! h c,strictly_ordered_visit,"['b', 'a', 'd', 'h', 'c']"
go to b but do not visit a h c or d and then go to a but do not visit h c or d or revisit b and then go to h but do not visit c or d or revisit b or a and then go to c but do not visit d or revisit b a or h and then go to d but do not revisit b a h or c,& & U ! a b & U ! h a & U ! c h & U ! d c F d & U ! b U b U ! b a & U ! a U a U ! a h & U ! h U h U ! h c U ! c U c U ! c d,strictly_ordered_visit,"['b', 'a', 'h', 'c', 'd']"
go to b but do not visit a h d or c and then go to a but do not visit h d or c or revisit b and then go to h but do not visit d or c or revisit b or a and then go to d but do not visit c or revisit b a or h and then go to c but do not revisit b a h or d,& & U ! a b & U ! h a & U ! d h & U ! c d F c & U ! b U b U ! b a & U ! a U a U ! a h & U ! h U h U ! h d U ! d U d U ! d c,strictly_ordered_visit,"['b', 'a', 'h', 'd', 'c']"
go to b but do not visit c a d or h and then go to c but do not visit a d or h or revisit b and then go to a but do not visit d or h or revisit b or c and then go to d but do not visit h or revisit b c or a and then go to h but do not revisit b c a or d,& & U ! c b & U ! a c & U ! d a & U ! h d F h & U ! b U b U ! b c & U ! c U c U ! c a & U ! a U a U ! a d U ! d U d U ! d h,strictly_ordered_visit,"['b', 'c', 'a', 'd', 'h']"
go to b but do not visit c a h or d and then go to c but do not visit a h or d or revisit b and then go to a but do not visit h or d or revisit b or c and then go to h but do not visit d or revisit b c or a and then go to d but do not revisit b c a or h,& & U ! c b & U ! a c & U ! h a & U ! d h F d & U ! b U b U ! b c & U ! c U c U ! c a & U ! a U a U ! a h U ! h U h U ! h d,strictly_ordered_visit,"['b', 'c', 'a', 'h', 'd']"
go to b but do not visit c d a or h and then go to c but do not visit d a or h or revisit b and then go to d but do not visit a or h or revisit b or c and then go to a but do not visit h or revisit b c or d and then go to h but do not revisit b c d or a,& & U ! c b & U ! d c & U ! a d & U ! h a F h & U ! b U b U ! b c & U ! c U c U ! c d & U ! d U d U ! d a U ! a U a U ! a h,strictly_ordered_visit,"['b', 'c', 'd', 'a', 'h']"
go to b but do not visit c d h or a and then go to c but do not visit d h or a or revisit b and then go to d but do not visit h or a or revisit b or c and then go to h but do not visit a or revisit b c or d and then go to a but do not revisit b c d or h,& & U ! c b & U ! d c & U ! h d & U ! a h F a & U ! b U b U ! b c & U ! c U c U ! c d & U ! d U d U ! d h U ! h U h U ! h a,strictly_ordered_visit,"['b', 'c', 'd', 'h', 'a']"
go to b but do not visit c h a or d and then go to c but do not visit h a or d or revisit b and then go to h but do not visit a or d or revisit b or c and then go to a but do not visit d or revisit b c or h and then go to d but do not revisit b c h or a,& & U ! c b & U ! h c & U ! a h & U ! d a F d & U ! b U b U ! b c & U ! c U c U ! c h & U ! h U h U ! h a U ! a U a U ! a d,strictly_ordered_visit,"['b', 'c', 'h', 'a', 'd']"
go to b but do not visit c h d or a and then go to c but do not visit h d or a or revisit b and then go to h but do not visit d or a or revisit b or c and then go to d but do not visit a or revisit b c or h and then go to a but do not revisit b c h or d,& & U ! c b & U ! h c & U ! d h & U ! a d F a & U ! b U b U ! b c & U ! c U c U ! c h & U ! h U h U ! h d U ! d U d U ! d a,strictly_ordered_visit,"['b', 'c', 'h', 'd', 'a']"
go to b but do not visit d a c or h and then go to d but do not visit a c or h or revisit b and then go to a but do not visit c or h or revisit b or d and then go to c but do not visit h or revisit b d or a and then go to h but do not revisit b d a or c,& & U ! d b & U ! a d & U ! c a & U ! h c F h & U ! b U b U ! b d & U ! d U d U ! d a & U ! a U a U ! a c U ! c U c U ! c h,strictly_ordered_visit,"['b', 'd', 'a', 'c', 'h']"
go to b but do not visit d a h or c and then go to d but do not visit a h or c or revisit b and then go to a but do not visit h or c or revisit b or d and then go to h but do not visit c or revisit b d or a and then go to c but do not revisit b d a or h,& & U ! d b & U ! a d & U ! h a & U ! c h F c & U ! b U b U ! b d & U ! d U d U ! d a & U ! a U a U ! a h U ! h U h U ! h c,strictly_ordered_visit,"['b', 'd', 'a', 'h', 'c']"
go to b but do not visit d c a or h and then go to d but do not visit c a or h or revisit b and then go to c but do not visit a or h or revisit b or d and then go to a but do not visit h or revisit b d or c and then go to h but do not revisit b d c or a,& & U ! d b & U ! c d & U ! a c & U ! h a F h & U ! b U b U ! b d & U ! d U d U ! d c & U ! c U c U ! c a U ! a U a U ! a h,strictly_ordered_visit,"['b', 'd', 'c', 'a', 'h']"
go to b but do not visit d c h or a and then go to d but do not visit c h or a or revisit b and then go to c but do not visit h or a or revisit b or d and then go to h but do not visit a or revisit b d or c and then go to a but do not revisit b d c or h,& & U ! d b & U ! c d & U ! h c & U ! a h F a & U ! b U b U ! b d & U ! d U d U ! d c & U ! c U c U ! c h U ! h U h U ! h a,strictly_ordered_visit,"['b', 'd', 'c', 'h', 'a']"
go to b but do not visit d h a or c and then go to d but do not visit h a or c or revisit b and then go to h but do not visit a or c or revisit b or d and then go to a but do not visit c or revisit b d or h and then go to c but do not revisit b d h or a,& & U ! d b & U ! h d & U ! a h & U ! c a F c & U ! b U b U ! b d & U ! d U d U ! d h & U ! h U h U ! h a U ! a U a U ! a c,strictly_ordered_visit,"['b', 'd', 'h', 'a', 'c']"
go to b but do not visit d h c or a and then go to d but do not visit h c or a or revisit b and then go to h but do not visit c or a or revisit b or d and then go to c but do not visit a or revisit b d or h and then go to a but do not revisit b d h or c,& & U ! d b & U ! h d & U ! c h & U ! a c F a & U ! b U b U ! b d & U ! d U d U ! d h & U ! h U h U ! h c U ! c U c U ! c a,strictly_ordered_visit,"['b', 'd', 'h', 'c', 'a']"
go to b but do not visit h a c or d and then go to h but do not visit a c or d or revisit b and then go to a but do not visit c or d or revisit b or h and then go to c but do not visit d or revisit b h or a and then go to d but do not revisit b h a or c,& & U ! h b & U ! a h & U ! c a & U ! d c F d & U ! b U b U ! b h & U ! h U h U ! h a & U ! a U a U ! a c U ! c U c U ! c d,strictly_ordered_visit,"['b', 'h', 'a', 'c', 'd']"
go to b but do not visit h a d or c and then go to h but do not visit a d or c or revisit b and then go to a but do not visit d or c or revisit b or h and then go to d but do not visit c or revisit b h or a and then go to c but do not revisit b h a or d,& & U ! h b & U ! a h & U ! d a & U ! c d F c & U ! b U b U ! b h & U ! h U h U ! h a & U ! a U a U ! a d U ! d U d U ! d c,strictly_ordered_visit,"['b', 'h', 'a', 'd', 'c']"
go to b but do not visit h c a or d and then go to h but do not visit c a or d or revisit b and then go to c but do not visit a or d or revisit b or h and then go to a but do not visit d or revisit b h or c and then go to d but do not revisit b h c or a,& & U ! h b & U ! c h & U ! a c & U ! d a F d & U ! b U b U ! b h & U ! h U h U ! h c & U ! c U c U ! c a U ! a U a U ! a d,strictly_ordered_visit,"['b', 'h', 'c', 'a', 'd']"
go to b but do not visit h c d or a and then go to h but do not visit c d or a or revisit b and then go to c but do not visit d or a or revisit b or h and then go to d but do not visit a or revisit b h or c and then go to a but do not revisit b h c or d,& & U ! h b & U ! c h & U ! d c & U ! a d F a & U ! b U b U ! b h & U ! h U h U ! h c & U ! c U c U ! c d U ! d U d U ! d a,strictly_ordered_visit,"['b', 'h', 'c', 'd', 'a']"
go to b but do not visit h d a or c and then go to h but do not visit d a or c or revisit b and then go to d but do not visit a or c or revisit b or h and then go to a but do not visit c or revisit b h or d and then go to c but do not revisit b h d or a,& & U ! h b & U ! d h & U ! a d & U ! c a F c & U ! b U b U ! b h & U ! h U h U ! h d & U ! d U d U ! d a U ! a U a U ! a c,strictly_ordered_visit,"['b', 'h', 'd', 'a', 'c']"
go to b but do not visit h d c or a and then go to h but do not visit d c or a or revisit b and then go to d but do not visit c or a or revisit b or h and then go to c but do not visit a or revisit b h or d and then go to a but do not revisit b h d or c,& & U ! h b & U ! d h & U ! c d & U ! a c F a & U ! b U b U ! b h & U ! h U h U ! h d & U ! d U d U ! d c U ! c U c U ! c a,strictly_ordered_visit,"['b', 'h', 'd', 'c', 'a']"
go to c but do not visit a b d or h and then go to a but do not visit b d or h or revisit c and then go to b but do not visit d or h or revisit c or a and then go to d but do not visit h or revisit c a or b and then go to h but do not revisit c a b or d,& & U ! a c & U ! b a & U ! d b & U ! h d F h & U ! c U c U ! c a & U ! a U a U ! a b & U ! b U b U ! b d U ! d U d U ! d h,strictly_ordered_visit,"['c', 'a', 'b', 'd', 'h']"
go to c but do not visit a b h or d and then go to a but do not visit b h or d or revisit c and then go to b but do not visit h or d or revisit c or a and then go to h but do not visit d or revisit c a or b and then go to d but do not revisit c a b or h,& & U ! a c & U ! b a & U ! h b & U ! d h F d & U ! c U c U ! c a & U ! a U a U ! a b & U ! b U b U ! b h U ! h U h U ! h d,strictly_ordered_visit,"['c', 'a', 'b', 'h', 'd']"
go to c but do not visit a d b or h and then go to a but do not visit d b or h or revisit c and then go to d but do not visit b or h or revisit c or a and then go to b but do not visit h or revisit c a or d and then go to h but do not revisit c a d or b,& & U ! a c & U ! d a & U ! b d & U ! h b F h & U ! c U c U ! c a & U ! a U a U ! a d & U ! d U d U ! d b U ! b U b U ! b h,strictly_ordered_visit,"['c', 'a', 'd', 'b', 'h']"
go to c but do not visit a d h or b and then go to a but do not visit d h or b or revisit c and then go to d but do not visit h or b or revisit c or a and then go to h but do not visit b or revisit c a or d and then go to b but do not revisit c a d or h,& & U ! a c & U ! d a & U ! h d & U ! b h F b & U ! c U c U ! c a & U ! a U a U ! a d & U ! d U d U ! d h U ! h U h U ! h b,strictly_ordered_visit,"['c', 'a', 'd', 'h', 'b']"
go to c but do not visit a h b or d and then go to a but do not visit h b or d or revisit c and then go to h but do not visit b or d or revisit c or a and then go to b but do not visit d or revisit c a or h and then go to d but do not revisit c a h or b,& & U ! a c & U ! h a & U ! b h & U ! d b F d & U ! c U c U ! c a & U ! a U a U ! a h & U ! h U h U ! h b U ! b U b U ! b d,strictly_ordered_visit,"['c', 'a', 'h', 'b', 'd']"
go to c but do not visit a h d or b and then go to a but do not visit h d or b or revisit c and then go to h but do not visit d or b or revisit c or a and then go to d but do not visit b or revisit c a or h and then go to b but do not revisit c a h or d,& & U ! a c & U ! h a & U ! d h & U ! b d F b & U ! c U c U ! c a & U ! a U a U ! a h & U ! h U h U ! h d U ! d U d U ! d b,strictly_ordered_visit,"['c', 'a', 'h', 'd', 'b']"
go to c but do not visit b a d or h and then go to b but do not visit a d or h or revisit c and then go to a but do not visit d or h or revisit c or b and then go to d but do not visit h or revisit c b or a and then go to h but do not revisit c b a or d,& & U ! b c & U ! a b & U ! d a & U ! h d F h & U ! c U c U ! c b & U ! b U b U ! b a & U ! a U a U ! a d U ! d U d U ! d h,strictly_ordered_visit,"['c', 'b', 'a', 'd', 'h']"
go to c but do not visit b a h or d and then go to b but do not visit a h or d or revisit c and then go to a but do not visit h or d or revisit c or b and then go to h but do not visit d or revisit c b or a and then go to d but do not revisit c b a or h,& & U ! b c & U ! a b & U ! h a & U ! d h F d & U ! c U c U ! c b & U ! b U b U ! b a & U ! a U a U ! a h U ! h U h U ! h d,strictly_ordered_visit,"['c', 'b', 'a', 'h', 'd']"
go to c but do not visit b d a or h and then go to b but do not visit d a or h or revisit c and then go to d but do not visit a or h or revisit c or b and then go to a but do not visit h or revisit c b or d and then go to h but do not revisit c b d or a,& & U ! b c & U ! d b & U ! a d & U ! h a F h & U ! c U c U ! c b & U ! b U b U ! b d & U ! d U d U ! d a U ! a U a U ! a h,strictly_ordered_visit,"['c', 'b', 'd', 'a', 'h']"
go to c but do not visit b d h or a and then go to b but do not visit d h or a or revisit c and then go to d but do not visit h or a or revisit c or b and then go to h but do not visit a or revisit c b or d and then go to a but do not revisit c b d or h,& & U ! b c & U ! d b & U ! h d & U ! a h F a & U ! c U c U ! c b & U ! b U b U ! b d & U ! d U d U ! d h U ! h U h U ! h a,strictly_ordered_visit,"['c', 'b', 'd', 'h', 'a']"
go to c but do not visit b h a or d and then go to b but do not visit h a or d or revisit c and then go to h but do not visit a or d or revisit c or b and then go to a but do not visit d or revisit c b or h and then go to d but do not revisit c b h or a,& & U ! b c & U ! h b & U ! a h & U ! d a F d & U ! c U c U ! c b & U ! b U b U ! b h & U ! h U h U ! h a U ! a U a U ! a d,strictly_ordered_visit,"['c', 'b', 'h', 'a', 'd']"
go to c but do not visit b h d or a and then go to b but do not visit h d or a or revisit c and then go to h but do not visit d or a or revisit c or b and then go to d but do not visit a or revisit c b or h and then go to a but do not revisit c b h or d,& & U ! b c & U ! h b & U ! d h & U ! a d F a & U ! c U c U ! c b & U ! b U b U ! b h & U ! h U h U ! h d U ! d U d U ! d a,strictly_ordered_visit,"['c', 'b', 'h', 'd', 'a']"
go to c but do not visit d a b or h and then go to d but do not visit a b or h or revisit c and then go to a but do not visit b or h or revisit c or d and then go to b but do not visit h or revisit c d or a and then go to h but do not revisit c d a or b,& & U ! d c & U ! a d & U ! b a & U ! h b F h & U ! c U c U ! c d & U ! d U d U ! d a & U ! a U a U ! a b U ! b U b U ! b h,strictly_ordered_visit,"['c', 'd', 'a', 'b', 'h']"
go to c but do not visit d a h or b and then go to d but do not visit a h or b or revisit c and then go to a but do not visit h or b or revisit c or d and then go to h but do not visit b or revisit c d or a and then go to b but do not revisit c d a or h,& & U ! d c & U ! a d & U ! h a & U ! b h F b & U ! c U c U ! c d & U ! d U d U ! d a & U ! a U a U ! a h U ! h U h U ! h b,strictly_ordered_visit,"['c', 'd', 'a', 'h', 'b']"
go to c but do not visit d b a or h and then go to d but do not visit b a or h or revisit c and then go to b but do not visit a or h or revisit c or d and then go to a but do not visit h or revisit c d or b and then go to h but do not revisit c d b or a,& & U ! d c & U ! b d & U ! a b & U ! h a F h & U ! c U c U ! c d & U ! d U d U ! d b & U ! b U b U ! b a U ! a U a U ! a h,strictly_ordered_visit,"['c', 'd', 'b', 'a', 'h']"
go to c but do not visit d b h or a and then go to d but do not visit b h or a or revisit c and then go to b but do not visit h or a or revisit c or d and then go to h but do not visit a or revisit c d or b and then go to a but do not revisit c d b or h,& & U ! d c & U ! b d & U ! h b & U ! a h F a & U ! c U c U ! c d & U ! d U d U ! d b & U ! b U b U ! b h U ! h U h U ! h a,strictly_ordered_visit,"['c', 'd', 'b', 'h', 'a']"
go to c but do not visit d h a or b and then go to d but do not visit h a or b or revisit c and then go to h but do not visit a or b or revisit c or d and then go to a but do not visit b or revisit c d or h and then go to b but do not revisit c d h or a,& & U ! d c & U ! h d & U ! a h & U ! b a F b & U ! c U c U ! c d & U ! d U d U ! d h & U ! h U h U ! h a U ! a U a U ! a b,strictly_ordered_visit,"['c', 'd', 'h', 'a', 'b']"
go to c but do not visit d h b or a and then go to d but do not visit h b or a or revisit c and then go to h but do not visit b or a or revisit c or d and then go to b but do not visit a or revisit c d or h and then go to a but do not revisit c d h or b,& & U ! d c & U ! h d & U ! b h & U ! a b F a & U ! c U c U ! c d & U ! d U d U ! d h & U ! h U h U ! h b U ! b U b U ! b a,strictly_ordered_visit,"['c', 'd', 'h', 'b', 'a']"
go to c but do not visit h a b or d and then go to h but do not visit a b or d or revisit c and then go to a but do not visit b or d or revisit c or h and then go to b but do not visit d or revisit c h or a and then go to d but do not revisit c h a or b,& & U ! h c & U ! a h & U ! b a & U ! d b F d & U ! c U c U ! c h & U ! h U h U ! h a & U ! a U a U ! a b U ! b U b U ! b d,strictly_ordered_visit,"['c', 'h', 'a', 'b', 'd']"
go to c but do not visit h a d or b and then go to h but do not visit a d or b or revisit c and then go to a but do not visit d or b or revisit c or h and then go to d but do not visit b or revisit c h or a and then go to b but do not revisit c h a or d,& & U ! h c & U ! a h & U ! d a & U ! b d F b & U ! c U c U ! c h & U ! h U h U ! h a & U ! a U a U ! a d U ! d U d U ! d b,strictly_ordered_visit,"['c', 'h', 'a', 'd', 'b']"
