instruction,ltl,pattern_type,props
go to c a h d and b,& F c & F a & F h & F d F b,visit,"['c', 'a', 'h', 'd', 'b']"
go to c b a d and h,& F c & F b & F a & F d F h,visit,"['c', 'b', 'a', 'd', 'h']"
go to c b a h and d,& F c & F b & F a & F h F d,visit,"['c', 'b', 'a', 'h', 'd']"
go to c b d a and h,& F c & F b & F d & F a F h,visit,"['c', 'b', 'd', 'a', 'h']"
go to c b d h and a,& F c & F b & F d & F h F a,visit,"['c', 'b', 'd', 'h', 'a']"
go to c b h a and d,& F c & F b & F h & F a F d,visit,"['c', 'b', 'h', 'a', 'd']"
go to c b h d and a,& F c & F b & F h & F d F a,visit,"['c', 'b', 'h', 'd', 'a']"
go to c d a b and h,& F c & F d & F a & F b F h,visit,"['c', 'd', 'a', 'b', 'h']"
go to c d a h and b,& F c & F d & F a & F h F b,visit,"['c', 'd', 'a', 'h', 'b']"
go to c d b a and h,& F c & F d & F b & F a F h,visit,"['c', 'd', 'b', 'a', 'h']"
go to c d b h and a,& F c & F d & F b & F h F a,visit,"['c', 'd', 'b', 'h', 'a']"
go to c d h a and b,& F c & F d & F h & F a F b,visit,"['c', 'd', 'h', 'a', 'b']"
go to c d h b and a,& F c & F d & F h & F b F a,visit,"['c', 'd', 'h', 'b', 'a']"
go to c h a b and d,& F c & F h & F a & F b F d,visit,"['c', 'h', 'a', 'b', 'd']"
go to c h a d and b,& F c & F h & F a & F d F b,visit,"['c', 'h', 'a', 'd', 'b']"
go to c h b a and d,& F c & F h & F b & F a F d,visit,"['c', 'h', 'b', 'a', 'd']"
go to c h b d and a,& F c & F h & F b & F d F a,visit,"['c', 'h', 'b', 'd', 'a']"
go to c h d a and b,& F c & F h & F d & F a F b,visit,"['c', 'h', 'd', 'a', 'b']"
go to c h d b and a,& F c & F h & F d & F b F a,visit,"['c', 'h', 'd', 'b', 'a']"
go to d a b c and h,& F d & F a & F b & F c F h,visit,"['d', 'a', 'b', 'c', 'h']"
go to d a b h and c,& F d & F a & F b & F h F c,visit,"['d', 'a', 'b', 'h', 'c']"
go to d a c b and h,& F d & F a & F c & F b F h,visit,"['d', 'a', 'c', 'b', 'h']"
go to d a c h and b,& F d & F a & F c & F h F b,visit,"['d', 'a', 'c', 'h', 'b']"
go to d a h b and c,& F d & F a & F h & F b F c,visit,"['d', 'a', 'h', 'b', 'c']"
go to d a h c and b,& F d & F a & F h & F c F b,visit,"['d', 'a', 'h', 'c', 'b']"
go to d b a c and h,& F d & F b & F a & F c F h,visit,"['d', 'b', 'a', 'c', 'h']"
go to d b a h and c,& F d & F b & F a & F h F c,visit,"['d', 'b', 'a', 'h', 'c']"
go to d b c a and h,& F d & F b & F c & F a F h,visit,"['d', 'b', 'c', 'a', 'h']"
go to d b c h and a,& F d & F b & F c & F h F a,visit,"['d', 'b', 'c', 'h', 'a']"
go to d b h a and c,& F d & F b & F h & F a F c,visit,"['d', 'b', 'h', 'a', 'c']"
go to d b h c and a,& F d & F b & F h & F c F a,visit,"['d', 'b', 'h', 'c', 'a']"
go to d c a b and h,& F d & F c & F a & F b F h,visit,"['d', 'c', 'a', 'b', 'h']"
go to d c a h and b,& F d & F c & F a & F h F b,visit,"['d', 'c', 'a', 'h', 'b']"
go to d c b a and h,& F d & F c & F b & F a F h,visit,"['d', 'c', 'b', 'a', 'h']"
go to d c b h and a,& F d & F c & F b & F h F a,visit,"['d', 'c', 'b', 'h', 'a']"
go to d c h a and b,& F d & F c & F h & F a F b,visit,"['d', 'c', 'h', 'a', 'b']"
go to d c h b and a,& F d & F c & F h & F b F a,visit,"['d', 'c', 'h', 'b', 'a']"
go to d h a b and c,& F d & F h & F a & F b F c,visit,"['d', 'h', 'a', 'b', 'c']"
go to d h a c and b,& F d & F h & F a & F c F b,visit,"['d', 'h', 'a', 'c', 'b']"
go to d h b a and c,& F d & F h & F b & F a F c,visit,"['d', 'h', 'b', 'a', 'c']"
go to d h b c and a,& F d & F h & F b & F c F a,visit,"['d', 'h', 'b', 'c', 'a']"
go to d h c a and b,& F d & F h & F c & F a F b,visit,"['d', 'h', 'c', 'a', 'b']"
go to d h c b and a,& F d & F h & F c & F b F a,visit,"['d', 'h', 'c', 'b', 'a']"
go to h a b c and d,& F h & F a & F b & F c F d,visit,"['h', 'a', 'b', 'c', 'd']"
go to h a b d and c,& F h & F a & F b & F d F c,visit,"['h', 'a', 'b', 'd', 'c']"
go to h a c b and d,& F h & F a & F c & F b F d,visit,"['h', 'a', 'c', 'b', 'd']"
go to h a c d and b,& F h & F a & F c & F d F b,visit,"['h', 'a', 'c', 'd', 'b']"
go to h a d b and c,& F h & F a & F d & F b F c,visit,"['h', 'a', 'd', 'b', 'c']"
go to h a d c and b,& F h & F a & F d & F c F b,visit,"['h', 'a', 'd', 'c', 'b']"
go to h b a c and d,& F h & F b & F a & F c F d,visit,"['h', 'b', 'a', 'c', 'd']"
go to h b a d and c,& F h & F b & F a & F d F c,visit,"['h', 'b', 'a', 'd', 'c']"
go to h b c a and d,& F h & F b & F c & F a F d,visit,"['h', 'b', 'c', 'a', 'd']"
go to h b c d and a,& F h & F b & F c & F d F a,visit,"['h', 'b', 'c', 'd', 'a']"
go to h b d a and c,& F h & F b & F d & F a F c,visit,"['h', 'b', 'd', 'a', 'c']"
go to h b d c and a,& F h & F b & F d & F c F a,visit,"['h', 'b', 'd', 'c', 'a']"
go to h c a b and d,& F h & F c & F a & F b F d,visit,"['h', 'c', 'a', 'b', 'd']"
go to h c a d and b,& F h & F c & F a & F d F b,visit,"['h', 'c', 'a', 'd', 'b']"
go to h c b a and d,& F h & F c & F b & F a F d,visit,"['h', 'c', 'b', 'a', 'd']"
go to h c b d and a,& F h & F c & F b & F d F a,visit,"['h', 'c', 'b', 'd', 'a']"
go to h c d a and b,& F h & F c & F d & F a F b,visit,"['h', 'c', 'd', 'a', 'b']"
go to h c d b and a,& F h & F c & F d & F b F a,visit,"['h', 'c', 'd', 'b', 'a']"
go to h d a b and c,& F h & F d & F a & F b F c,visit,"['h', 'd', 'a', 'b', 'c']"
go to h d a c and b,& F h & F d & F a & F c F b,visit,"['h', 'd', 'a', 'c', 'b']"
go to h d b a and c,& F h & F d & F b & F a F c,visit,"['h', 'd', 'b', 'a', 'c']"
go to h d b c and a,& F h & F d & F b & F c F a,visit,"['h', 'd', 'b', 'c', 'a']"
go to h d c a and b,& F h & F d & F c & F a F b,visit,"['h', 'd', 'c', 'a', 'b']"
go to h d c b and a,& F h & F d & F c & F b F a,visit,"['h', 'd', 'c', 'b', 'a']"
do not visit c until visiting b do not visit b until visiting a,& U ! b a & U ! c b F c,ordered_visit,"['a', 'b', 'c']"
do not visit d until visiting b do not visit b until visiting a,& U ! b a & U ! d b F d,ordered_visit,"['a', 'b', 'd']"
do not visit h until visiting b do not visit b until visiting a,& U ! b a & U ! h b F h,ordered_visit,"['a', 'b', 'h']"
do not visit b until visiting c do not visit c until visiting a,& U ! c a & U ! b c F b,ordered_visit,"['a', 'c', 'b']"
do not visit d until visiting c do not visit c until visiting a,& U ! c a & U ! d c F d,ordered_visit,"['a', 'c', 'd']"
do not visit h until visiting c do not visit c until visiting a,& U ! c a & U ! h c F h,ordered_visit,"['a', 'c', 'h']"
do not visit b until visiting d do not visit d until visiting a,& U ! d a & U ! b d F b,ordered_visit,"['a', 'd', 'b']"
do not visit c until visiting d do not visit d until visiting a,& U ! d a & U ! c d F c,ordered_visit,"['a', 'd', 'c']"
do not visit h until visiting d do not visit d until visiting a,& U ! d a & U ! h d F h,ordered_visit,"['a', 'd', 'h']"
do not visit b until visiting h do not visit h until visiting a,& U ! h a & U ! b h F b,ordered_visit,"['a', 'h', 'b']"
do not visit c until visiting h do not visit h until visiting a,& U ! h a & U ! c h F c,ordered_visit,"['a', 'h', 'c']"
do not visit d until visiting h do not visit h until visiting a,& U ! h a & U ! d h F d,ordered_visit,"['a', 'h', 'd']"
do not visit c until visiting a do not visit a until visiting b,& U ! a b & U ! c a F c,ordered_visit,"['b', 'a', 'c']"
do not visit d until visiting a do not visit a until visiting b,& U ! a b & U ! d a F d,ordered_visit,"['b', 'a', 'd']"
do not visit h until visiting a do not visit a until visiting b,& U ! a b & U ! h a F h,ordered_visit,"['b', 'a', 'h']"
do not visit a until visiting c do not visit c until visiting b,& U ! c b & U ! a c F a,ordered_visit,"['b', 'c', 'a']"
do not visit d until visiting c do not visit c until visiting b,& U ! c b & U ! d c F d,ordered_visit,"['b', 'c', 'd']"
do not visit h until visiting c do not visit c until visiting b,& U ! c b & U ! h c F h,ordered_visit,"['b', 'c', 'h']"
do not visit a until visiting d do not visit d until visiting b,& U ! d b & U ! a d F a,ordered_visit,"['b', 'd', 'a']"
do not visit c until visiting d do not visit d until visiting b,& U ! d b & U ! c d F c,ordered_visit,"['b', 'd', 'c']"
do not visit h until visiting d do not visit d until visiting b,& U ! d b & U ! h d F h,ordered_visit,"['b', 'd', 'h']"
do not visit a until visiting h do not visit h until visiting b,& U ! h b & U ! a h F a,ordered_visit,"['b', 'h', 'a']"
do not visit c until visiting h do not visit h until visiting b,& U ! h b & U ! c h F c,ordered_visit,"['b', 'h', 'c']"
do not visit d until visiting h do not visit h until visiting b,& U ! h b & U ! d h F d,ordered_visit,"['b', 'h', 'd']"
do not visit b until visiting a do not visit a until visiting c,& U ! a c & U ! b a F b,ordered_visit,"['c', 'a', 'b']"
do not visit d until visiting a do not visit a until visiting c,& U ! a c & U ! d a F d,ordered_visit,"['c', 'a', 'd']"
do not visit h until visiting a do not visit a until visiting c,& U ! a c & U ! h a F h,ordered_visit,"['c', 'a', 'h']"
do not visit a until visiting b do not visit b until visiting c,& U ! b c & U ! a b F a,ordered_visit,"['c', 'b', 'a']"
do not visit d until visiting b do not visit b until visiting c,& U ! b c & U ! d b F d,ordered_visit,"['c', 'b', 'd']"
do not visit h until visiting b do not visit b until visiting c,& U ! b c & U ! h b F h,ordered_visit,"['c', 'b', 'h']"
do not visit a until visiting d do not visit d until visiting c,& U ! d c & U ! a d F a,ordered_visit,"['c', 'd', 'a']"
do not visit b until visiting d do not visit d until visiting c,& U ! d c & U ! b d F b,ordered_visit,"['c', 'd', 'b']"
do not visit h until visiting d do not visit d until visiting c,& U ! d c & U ! h d F h,ordered_visit,"['c', 'd', 'h']"
do not visit a until visiting h do not visit h until visiting c,& U ! h c & U ! a h F a,ordered_visit,"['c', 'h', 'a']"
do not visit b until visiting h do not visit h until visiting c,& U ! h c & U ! b h F b,ordered_visit,"['c', 'h', 'b']"
do not visit d until visiting h do not visit h until visiting c,& U ! h c & U ! d h F d,ordered_visit,"['c', 'h', 'd']"
do not visit b until visiting a do not visit a until visiting d,& U ! a d & U ! b a F b,ordered_visit,"['d', 'a', 'b']"
do not visit c until visiting a do not visit a until visiting d,& U ! a d & U ! c a F c,ordered_visit,"['d', 'a', 'c']"
do not visit h until visiting a do not visit a until visiting d,& U ! a d & U ! h a F h,ordered_visit,"['d', 'a', 'h']"
do not visit a until visiting b do not visit b until visiting d,& U ! b d & U ! a b F a,ordered_visit,"['d', 'b', 'a']"
do not visit c until visiting b do not visit b until visiting d,& U ! b d & U ! c b F c,ordered_visit,"['d', 'b', 'c']"
do not visit h until visiting b do not visit b until visiting d,& U ! b d & U ! h b F h,ordered_visit,"['d', 'b', 'h']"
do not visit a until visiting c do not visit c until visiting d,& U ! c d & U ! a c F a,ordered_visit,"['d', 'c', 'a']"
do not visit b until visiting c do not visit c until visiting d,& U ! c d & U ! b c F b,ordered_visit,"['d', 'c', 'b']"
do not visit h until visiting c do not visit c until visiting d,& U ! c d & U ! h c F h,ordered_visit,"['d', 'c', 'h']"
do not visit a until visiting h do not visit h until visiting d,& U ! h d & U ! a h F a,ordered_visit,"['d', 'h', 'a']"
do not visit b until visiting h do not visit h until visiting d,& U ! h d & U ! b h F b,ordered_visit,"['d', 'h', 'b']"
do not visit c until visiting h do not visit h until visiting d,& U ! h d & U ! c h F c,ordered_visit,"['d', 'h', 'c']"
do not visit b until visiting a do not visit a until visiting h,& U ! a h & U ! b a F b,ordered_visit,"['h', 'a', 'b']"
do not visit c until visiting a do not visit a until visiting h,& U ! a h & U ! c a F c,ordered_visit,"['h', 'a', 'c']"
do not visit d until visiting a do not visit a until visiting h,& U ! a h & U ! d a F d,ordered_visit,"['h', 'a', 'd']"
do not visit a until visiting b do not visit b until visiting h,& U ! b h & U ! a b F a,ordered_visit,"['h', 'b', 'a']"
do not visit c until visiting b do not visit b until visiting h,& U ! b h & U ! c b F c,ordered_visit,"['h', 'b', 'c']"
do not visit d until visiting b do not visit b until visiting h,& U ! b h & U ! d b F d,ordered_visit,"['h', 'b', 'd']"
do not visit a until visiting c do not visit c until visiting h,& U ! c h & U ! a c F a,ordered_visit,"['h', 'c', 'a']"
do not visit b until visiting c do not visit c until visiting h,& U ! c h & U ! b c F b,ordered_visit,"['h', 'c', 'b']"
do not visit d until visiting c do not visit c until visiting h,& U ! c h & U ! d c F d,ordered_visit,"['h', 'c', 'd']"
do not visit a until visiting d do not visit d until visiting h,& U ! d h & U ! a d F a,ordered_visit,"['h', 'd', 'a']"
do not visit b until visiting d do not visit d until visiting h,& U ! d h & U ! b d F b,ordered_visit,"['h', 'd', 'b']"
do not visit c until visiting d do not visit d until visiting h,& U ! d h & U ! c d F c,ordered_visit,"['h', 'd', 'c']"
in strictly this order visit a then eventually visit b and finally eventually c,& U ! b a & U ! c b F c,ordered_visit,"['a', 'b', 'c']"
in strictly this order visit a then eventually visit b and finally eventually d,& U ! b a & U ! d b F d,ordered_visit,"['a', 'b', 'd']"
in strictly this order visit a then eventually visit b and finally eventually h,& U ! b a & U ! h b F h,ordered_visit,"['a', 'b', 'h']"
in strictly this order visit a then eventually visit c and finally eventually b,& U ! c a & U ! b c F b,ordered_visit,"['a', 'c', 'b']"
in strictly this order visit a then eventually visit c and finally eventually d,& U ! c a & U ! d c F d,ordered_visit,"['a', 'c', 'd']"
in strictly this order visit a then eventually visit c and finally eventually h,& U ! c a & U ! h c F h,ordered_visit,"['a', 'c', 'h']"
in strictly this order visit a then eventually visit d and finally eventually b,& U ! d a & U ! b d F b,ordered_visit,"['a', 'd', 'b']"
in strictly this order visit a then eventually visit d and finally eventually c,& U ! d a & U ! c d F c,ordered_visit,"['a', 'd', 'c']"
in strictly this order visit a then eventually visit d and finally eventually h,& U ! d a & U ! h d F h,ordered_visit,"['a', 'd', 'h']"
in strictly this order visit a then eventually visit h and finally eventually b,& U ! h a & U ! b h F b,ordered_visit,"['a', 'h', 'b']"
in strictly this order visit a then eventually visit h and finally eventually c,& U ! h a & U ! c h F c,ordered_visit,"['a', 'h', 'c']"
in strictly this order visit a then eventually visit h and finally eventually d,& U ! h a & U ! d h F d,ordered_visit,"['a', 'h', 'd']"
in strictly this order visit b then eventually visit a and finally eventually c,& U ! a b & U ! c a F c,ordered_visit,"['b', 'a', 'c']"
in strictly this order visit b then eventually visit a and finally eventually d,& U ! a b & U ! d a F d,ordered_visit,"['b', 'a', 'd']"
in strictly this order visit b then eventually visit a and finally eventually h,& U ! a b & U ! h a F h,ordered_visit,"['b', 'a', 'h']"
in strictly this order visit b then eventually visit c and finally eventually a,& U ! c b & U ! a c F a,ordered_visit,"['b', 'c', 'a']"
in strictly this order visit b then eventually visit c and finally eventually d,& U ! c b & U ! d c F d,ordered_visit,"['b', 'c', 'd']"
in strictly this order visit b then eventually visit c and finally eventually h,& U ! c b & U ! h c F h,ordered_visit,"['b', 'c', 'h']"
in strictly this order visit b then eventually visit d and finally eventually a,& U ! d b & U ! a d F a,ordered_visit,"['b', 'd', 'a']"
in strictly this order visit b then eventually visit d and finally eventually c,& U ! d b & U ! c d F c,ordered_visit,"['b', 'd', 'c']"
in strictly this order visit b then eventually visit d and finally eventually h,& U ! d b & U ! h d F h,ordered_visit,"['b', 'd', 'h']"
in strictly this order visit b then eventually visit h and finally eventually a,& U ! h b & U ! a h F a,ordered_visit,"['b', 'h', 'a']"
in strictly this order visit b then eventually visit h and finally eventually c,& U ! h b & U ! c h F c,ordered_visit,"['b', 'h', 'c']"
in strictly this order visit b then eventually visit h and finally eventually d,& U ! h b & U ! d h F d,ordered_visit,"['b', 'h', 'd']"
in strictly this order visit c then eventually visit a and finally eventually b,& U ! a c & U ! b a F b,ordered_visit,"['c', 'a', 'b']"
in strictly this order visit c then eventually visit a and finally eventually d,& U ! a c & U ! d a F d,ordered_visit,"['c', 'a', 'd']"
in strictly this order visit c then eventually visit a and finally eventually h,& U ! a c & U ! h a F h,ordered_visit,"['c', 'a', 'h']"
in strictly this order visit c then eventually visit b and finally eventually a,& U ! b c & U ! a b F a,ordered_visit,"['c', 'b', 'a']"
in strictly this order visit c then eventually visit b and finally eventually d,& U ! b c & U ! d b F d,ordered_visit,"['c', 'b', 'd']"
in strictly this order visit c then eventually visit b and finally eventually h,& U ! b c & U ! h b F h,ordered_visit,"['c', 'b', 'h']"
in strictly this order visit c then eventually visit d and finally eventually a,& U ! d c & U ! a d F a,ordered_visit,"['c', 'd', 'a']"
in strictly this order visit c then eventually visit d and finally eventually b,& U ! d c & U ! b d F b,ordered_visit,"['c', 'd', 'b']"
in strictly this order visit c then eventually visit d and finally eventually h,& U ! d c & U ! h d F h,ordered_visit,"['c', 'd', 'h']"
in strictly this order visit c then eventually visit h and finally eventually a,& U ! h c & U ! a h F a,ordered_visit,"['c', 'h', 'a']"
in strictly this order visit c then eventually visit h and finally eventually b,& U ! h c & U ! b h F b,ordered_visit,"['c', 'h', 'b']"
in strictly this order visit c then eventually visit h and finally eventually d,& U ! h c & U ! d h F d,ordered_visit,"['c', 'h', 'd']"
in strictly this order visit d then eventually visit a and finally eventually b,& U ! a d & U ! b a F b,ordered_visit,"['d', 'a', 'b']"
in strictly this order visit d then eventually visit a and finally eventually c,& U ! a d & U ! c a F c,ordered_visit,"['d', 'a', 'c']"
in strictly this order visit d then eventually visit a and finally eventually h,& U ! a d & U ! h a F h,ordered_visit,"['d', 'a', 'h']"
in strictly this order visit d then eventually visit b and finally eventually a,& U ! b d & U ! a b F a,ordered_visit,"['d', 'b', 'a']"
in strictly this order visit d then eventually visit b and finally eventually c,& U ! b d & U ! c b F c,ordered_visit,"['d', 'b', 'c']"
in strictly this order visit d then eventually visit b and finally eventually h,& U ! b d & U ! h b F h,ordered_visit,"['d', 'b', 'h']"
in strictly this order visit d then eventually visit c and finally eventually a,& U ! c d & U ! a c F a,ordered_visit,"['d', 'c', 'a']"
in strictly this order visit d then eventually visit c and finally eventually b,& U ! c d & U ! b c F b,ordered_visit,"['d', 'c', 'b']"
in strictly this order visit d then eventually visit c and finally eventually h,& U ! c d & U ! h c F h,ordered_visit,"['d', 'c', 'h']"
in strictly this order visit d then eventually visit h and finally eventually a,& U ! h d & U ! a h F a,ordered_visit,"['d', 'h', 'a']"
in strictly this order visit d then eventually visit h and finally eventually b,& U ! h d & U ! b h F b,ordered_visit,"['d', 'h', 'b']"
in strictly this order visit d then eventually visit h and finally eventually c,& U ! h d & U ! c h F c,ordered_visit,"['d', 'h', 'c']"
in strictly this order visit h then eventually visit a and finally eventually b,& U ! a h & U ! b a F b,ordered_visit,"['h', 'a', 'b']"
in strictly this order visit h then eventually visit a and finally eventually c,& U ! a h & U ! c a F c,ordered_visit,"['h', 'a', 'c']"
in strictly this order visit h then eventually visit a and finally eventually d,& U ! a h & U ! d a F d,ordered_visit,"['h', 'a', 'd']"
in strictly this order visit h then eventually visit b and finally eventually a,& U ! b h & U ! a b F a,ordered_visit,"['h', 'b', 'a']"
in strictly this order visit h then eventually visit b and finally eventually c,& U ! b h & U ! c b F c,ordered_visit,"['h', 'b', 'c']"
in strictly this order visit h then eventually visit b and finally eventually d,& U ! b h & U ! d b F d,ordered_visit,"['h', 'b', 'd']"
in strictly this order visit h then eventually visit c and finally eventually a,& U ! c h & U ! a c F a,ordered_visit,"['h', 'c', 'a']"
in strictly this order visit h then eventually visit c and finally eventually b,& U ! c h & U ! b c F b,ordered_visit,"['h', 'c', 'b']"
in strictly this order visit h then eventually visit c and finally eventually d,& U ! c h & U ! d c F d,ordered_visit,"['h', 'c', 'd']"
in strictly this order visit h then eventually visit d and finally eventually a,& U ! d h & U ! a d F a,ordered_visit,"['h', 'd', 'a']"
in strictly this order visit h then eventually visit d and finally eventually b,& U ! d h & U ! b d F b,ordered_visit,"['h', 'd', 'b']"
in strictly this order visit h then eventually visit d and finally eventually c,& U ! d h & U ! c d F c,ordered_visit,"['h', 'd', 'c']"
move to a,F a,visit,['a']
move to b,F b,visit,['b']
move to c,F c,visit,['c']
move to d,F d,visit,['d']
move to h,F h,visit,['h']
go to a,F a,visit,['a']
go to b,F b,visit,['b']
go to c,F c,visit,['c']
go to d,F d,visit,['d']
go to h,F h,visit,['h']
reach a,F a,visit,['a']
reach b,F b,visit,['b']
reach c,F c,visit,['c']
reach d,F d,visit,['d']
reach h,F h,visit,['h']
navigate to a,F a,visit,['a']
navigate to b,F b,visit,['b']
navigate to c,F c,visit,['c']
navigate to d,F d,visit,['d']
navigate to h,F h,visit,['h']
find a,F a,visit,['a']
find b,F b,visit,['b']
find c,F c,visit,['c']
find d,F d,visit,['d']
find h,F h,visit,['h']
go to b but do not go to b until you go to a first,& U ! b a F b,ordered_visit,"['a', 'b']"
go to c but do not go to c until you go to a first,& U ! c a F c,ordered_visit,"['a', 'c']"
go to d but do not go to d until you go to a first,& U ! d a F d,ordered_visit,"['a', 'd']"
go to h but do not go to h until you go to a first,& U ! h a F h,ordered_visit,"['a', 'h']"
go to a but do not go to a until you go to b first,& U ! a b F a,ordered_visit,"['b', 'a']"
go to c but do not go to c until you go to b first,& U ! c b F c,ordered_visit,"['b', 'c']"
go to d but do not go to d until you go to b first,& U ! d b F d,ordered_visit,"['b', 'd']"
go to h but do not go to h until you go to b first,& U ! h b F h,ordered_visit,"['b', 'h']"
go to a but do not go to a until you go to c first,& U ! a c F a,ordered_visit,"['c', 'a']"
go to b but do not go to b until you go to c first,& U ! b c F b,ordered_visit,"['c', 'b']"
go to d but do not go to d until you go to c first,& U ! d c F d,ordered_visit,"['c', 'd']"
go to h but do not go to h until you go to c first,& U ! h c F h,ordered_visit,"['c', 'h']"
go to a but do not go to a until you go to d first,& U ! a d F a,ordered_visit,"['d', 'a']"
go to b but do not go to b until you go to d first,& U ! b d F b,ordered_visit,"['d', 'b']"
go to c but do not go to c until you go to d first,& U ! c d F c,ordered_visit,"['d', 'c']"
go to h but do not go to h until you go to d first,& U ! h d F h,ordered_visit,"['d', 'h']"
go to a but do not go to a until you go to h first,& U ! a h F a,ordered_visit,"['h', 'a']"
go to b but do not go to b until you go to h first,& U ! b h F b,ordered_visit,"['h', 'b']"
go to c but do not go to c until you go to h first,& U ! c h F c,ordered_visit,"['h', 'c']"
go to d but do not go to d until you go to h first,& U ! d h F d,ordered_visit,"['h', 'd']"
find b but not until you find a first,& U ! b a F b,ordered_visit,"['a', 'b']"
find c but not until you find a first,& U ! c a F c,ordered_visit,"['a', 'c']"
find d but not until you find a first,& U ! d a F d,ordered_visit,"['a', 'd']"
find h but not until you find a first,& U ! h a F h,ordered_visit,"['a', 'h']"
find a but not until you find b first,& U ! a b F a,ordered_visit,"['b', 'a']"
find c but not until you find b first,& U ! c b F c,ordered_visit,"['b', 'c']"
find d but not until you find b first,& U ! d b F d,ordered_visit,"['b', 'd']"
find h but not until you find b first,& U ! h b F h,ordered_visit,"['b', 'h']"
find a but not until you find c first,& U ! a c F a,ordered_visit,"['c', 'a']"
find b but not until you find c first,& U ! b c F b,ordered_visit,"['c', 'b']"
find d but not until you find c first,& U ! d c F d,ordered_visit,"['c', 'd']"
find h but not until you find c first,& U ! h c F h,ordered_visit,"['c', 'h']"
find a but not until you find d first,& U ! a d F a,ordered_visit,"['d', 'a']"
find b but not until you find d first,& U ! b d F b,ordered_visit,"['d', 'b']"
find c but not until you find d first,& U ! c d F c,ordered_visit,"['d', 'c']"
find h but not until you find d first,& U ! h d F h,ordered_visit,"['d', 'h']"
find a but not until you find h first,& U ! a h F a,ordered_visit,"['h', 'a']"
find b but not until you find h first,& U ! b h F b,ordered_visit,"['h', 'b']"
find c but not until you find h first,& U ! c h F c,ordered_visit,"['h', 'c']"
find d but not until you find h first,& U ! d h F d,ordered_visit,"['h', 'd']"
find a while avoiding b then after finding a go to b,& U ! b a F b,ordered_visit,"['a', 'b']"
find a while avoiding c then after finding a go to c,& U ! c a F c,ordered_visit,"['a', 'c']"
find a while avoiding d then after finding a go to d,& U ! d a F d,ordered_visit,"['a', 'd']"
find a while avoiding h then after finding a go to h,& U ! h a F h,ordered_visit,"['a', 'h']"
find b while avoiding a then after finding b go to a,& U ! a b F a,ordered_visit,"['b', 'a']"
find b while avoiding c then after finding b go to c,& U ! c b F c,ordered_visit,"['b', 'c']"
find b while avoiding d then after finding b go to d,& U ! d b F d,ordered_visit,"['b', 'd']"
find b while avoiding h then after finding b go to h,& U ! h b F h,ordered_visit,"['b', 'h']"
find c while avoiding a then after finding c go to a,& U ! a c F a,ordered_visit,"['c', 'a']"
find c while avoiding b then after finding c go to b,& U ! b c F b,ordered_visit,"['c', 'b']"
find c while avoiding d then after finding c go to d,& U ! d c F d,ordered_visit,"['c', 'd']"
find c while avoiding h then after finding c go to h,& U ! h c F h,ordered_visit,"['c', 'h']"
find d while avoiding a then after finding d go to a,& U ! a d F a,ordered_visit,"['d', 'a']"
find d while avoiding b then after finding d go to b,& U ! b d F b,ordered_visit,"['d', 'b']"
find d while avoiding c then after finding d go to c,& U ! c d F c,ordered_visit,"['d', 'c']"
find d while avoiding h then after finding d go to h,& U ! h d F h,ordered_visit,"['d', 'h']"
find h while avoiding a then after finding h go to a,& U ! a h F a,ordered_visit,"['h', 'a']"
find h while avoiding b then after finding h go to b,& U ! b h F b,ordered_visit,"['h', 'b']"
find h while avoiding c then after finding h go to c,& U ! c h F c,ordered_visit,"['h', 'c']"
find h while avoiding d then after finding h go to d,& U ! d h F d,ordered_visit,"['h', 'd']"
first go to a while avoiding b then move to b,& U ! b a F b,ordered_visit,"['a', 'b']"
first go to a while avoiding c then move to c,& U ! c a F c,ordered_visit,"['a', 'c']"
first go to a while avoiding d then move to d,& U ! d a F d,ordered_visit,"['a', 'd']"
first go to a while avoiding h then move to h,& U ! h a F h,ordered_visit,"['a', 'h']"
first go to b while avoiding a then move to a,& U ! a b F a,ordered_visit,"['b', 'a']"
first go to b while avoiding c then move to c,& U ! c b F c,ordered_visit,"['b', 'c']"
first go to b while avoiding d then move to d,& U ! d b F d,ordered_visit,"['b', 'd']"
first go to b while avoiding h then move to h,& U ! h b F h,ordered_visit,"['b', 'h']"
first go to c while avoiding a then move to a,& U ! a c F a,ordered_visit,"['c', 'a']"
first go to c while avoiding b then move to b,& U ! b c F b,ordered_visit,"['c', 'b']"
first go to c while avoiding d then move to d,& U ! d c F d,ordered_visit,"['c', 'd']"
first go to c while avoiding h then move to h,& U ! h c F h,ordered_visit,"['c', 'h']"
first go to d while avoiding a then move to a,& U ! a d F a,ordered_visit,"['d', 'a']"
first go to d while avoiding b then move to b,& U ! b d F b,ordered_visit,"['d', 'b']"
first go to d while avoiding c then move to c,& U ! c d F c,ordered_visit,"['d', 'c']"
first go to d while avoiding h then move to h,& U ! h d F h,ordered_visit,"['d', 'h']"
first go to h while avoiding a then move to a,& U ! a h F a,ordered_visit,"['h', 'a']"
first go to h while avoiding b then move to b,& U ! b h F b,ordered_visit,"['h', 'b']"
first go to h while avoiding c then move to c,& U ! c h F c,ordered_visit,"['h', 'c']"
first go to h while avoiding d then move to d,& U ! d h F d,ordered_visit,"['h', 'd']"
go to a while staying away from b then move to b,& U ! b a F b,ordered_visit,"['a', 'b']"
go to a while staying away from c then move to c,& U ! c a F c,ordered_visit,"['a', 'c']"
